"row.names","ID","choice","mode","modeLable","wh","wage","whCrossAge","whCrossEduY","whCrossMarriage","wageCrossAge","wageCrossEduY","wageCrossMarriage","whSquare","ySquare","whCrossWage"
"24.lightOverTInc",24,TRUE,3,"lightOverTInc",5.26296,1,173.67768,84.20736,5.26296,33,16,1,27.6987479616,1,5.26296
"24.heavyOverTInc",24,FALSE,4,"heavyOverTInc",7.33051,1.2121991576414,241.90683,117.28816,7.33051,40.0025722021661,19.3951865222623,1.2121991576414,53.7363768601,1.46942679778651,8.88603804708183
"25.partTimeInc",25,FALSE,1,"partTimeInc",2.41749,0.453141025702159,99.11709,2.41749,2.41749,18.5787820537885,0.453141025702159,0.453141025702159,5.8442579001,0.205336789174404,1.09546389822471
"25.fullTimeInc",25,TRUE,2,"fullTimeInc",3.94367,1,161.69047,3.94367,3.94367,41,1,1,15.5525330689,1,3.94367
"25.lightOverTInc",25,FALSE,3,"lightOverTInc",5.26296,1.28781226764381,215.78136,5.26296,5.26296,52.8003029733963,1.28781226764381,1.28781226764381,27.6987479616,1.6584604366939,6.77770445211867
"25.heavyOverTInc",25,FALSE,4,"heavyOverTInc",7.33051,1.81829873646209,300.55091,7.33051,7.33051,74.5502481949458,1.81829873646209,1.81829873646209,53.7363768601,3.30621029501965,13.3290570706227
"26.partTimeInc",26,TRUE,1,"partTimeInc",2.41749,1,58.01976,2.41749,2.41749,24,1,1,5.8442579001,1,2.41749
"26.fullTimeInc",26,FALSE,2,"fullTimeInc",3.94367,3.9206538050121,94.64808,3.94367,3.94367,94.0956913202905,3.9206538050121,3.9206538050121,15.5525330689,15.3715262587559,15.4617647912121
"26.lightOverTInc",26,FALSE,3,"lightOverTInc",5.26296,5.15124907057525,126.31104,5.26296,5.26296,123.629977693806,5.15124907057525,5.15124907057525,27.6987479616,26.5353669871023,27.1108178084747
"26.heavyOverTInc",26,FALSE,4,"heavyOverTInc",7.33051,7.27319494584837,175.93224,7.33051,7.33051,174.556678700361,7.27319494584837,7.27319494584837,53.7363768601,52.8993647203143,53.316228282491
"27.partTimeInc",27,FALSE,1,"partTimeInc",2.41749,0.453141025702159,106.36956,2.41749,2.41749,19.938205130895,0.453141025702159,0.453141025702159,5.8442579001,0.205336789174404,1.09546389822471
"27.fullTimeInc",27,TRUE,2,"fullTimeInc",3.94367,1,173.52148,3.94367,3.94367,44,1,1,15.5525330689,1,3.94367
"27.lightOverTInc",27,FALSE,3,"lightOverTInc",5.26296,1.28781226764381,231.57024,5.26296,5.26296,56.6637397763277,1.28781226764381,1.28781226764381,27.6987479616,1.6584604366939,6.77770445211867
"27.heavyOverTInc",27,FALSE,4,"heavyOverTInc",7.33051,1.81829873646209,322.54244,7.33051,7.33051,80.0051444043321,1.81829873646209,1.81829873646209,53.7363768601,3.30621029501965,13.3290570706227
"28.partTimeInc",28,FALSE,1,"partTimeInc",2.41749,0.453141025702159,55.60227,2.41749,0,10.4222435911496,0.453141025702159,0,5.8442579001,0.205336789174404,1.09546389822471
"28.fullTimeInc",28,TRUE,2,"fullTimeInc",3.94367,1,90.70441,3.94367,0,23,1,0,15.5525330689,1,3.94367
"28.lightOverTInc",28,FALSE,3,"lightOverTInc",5.26296,1.28781226764381,121.04808,5.26296,0,29.6196821558077,1.28781226764381,0,27.6987479616,1.6584604366939,6.77770445211867
"28.heavyOverTInc",28,FALSE,4,"heavyOverTInc",7.33051,1.81829873646209,168.60173,7.33051,0,41.8208709386282,1.81829873646209,0,53.7363768601,3.30621029501965,13.3290570706227
"29.partTimeInc",29,FALSE,1,"partTimeInc",2.41749,1.01503589757284,70.10721,36.26235,2.41749,29.4360410296122,15.2255384635925,1.01503589757284,5.8442579001,1.03029787336149,2.45383913202335
"29.fullTimeInc",29,FALSE,2,"fullTimeInc",3.94367,2.19556613080678,114.36643,59.15505,3.94367,63.6714177933966,32.9334919621017,2.19556613080678,15.5525330689,4.82051063474585,8.65858828307877
"29.lightOverTInc",29,TRUE,3,"lightOverTInc",5.26296,2.8,152.62584,78.9444,5.26296,81.2,42,2.8,27.6987479616,7.84,14.736288
"29.heavyOverTInc",29,FALSE,4,"heavyOverTInc",7.33051,4.07298916967509,212.58479,109.95765,7.33051,118.116685920578,61.0948375451263,4.07298916967509,53.7363768601,16.5892407762906,29.8570878381949
"30.partTimeInc",30,FALSE,1,"partTimeInc",2.41749,0.402792022846363,62.85474,38.67984,0,10.4725925940054,6.44467236554181,0,5.8442579001,0.162241413668665,0.973745687310855
"30.fullTimeInc",30,FALSE,2,"fullTimeInc",3.94367,0.871256401113801,102.53542,63.09872,0,22.6526664289588,13.9401024178208,0,15.5525330689,0.759087716481772,3.43594773138046
"30.lightOverTInc",30,TRUE,3,"lightOverTInc",5.26296,1,136.83696,84.20736,0,26,16,0,27.6987479616,1,5.26296
"30.heavyOverTInc",30,FALSE,4,"heavyOverTInc",7.33051,1.61626554352186,190.59326,117.28816,0,42.0229041315684,25.8602486963498,0,53.7363768601,2.61231430717602,11.8480507294424
"31.partTimeInc",31,FALSE,1,"partTimeInc",2.41749,0.793500285007336,94.28211,38.67984,2.41749,30.9465111152861,12.6960045601174,0.793500285007336,5.8442579001,0.629642702306723,1.91827900400238
"31.fullTimeInc",31,FALSE,2,"fullTimeInc",3.94367,1.71637511019419,153.80313,63.09872,3.94367,66.9386292975733,27.462001763107,1.71637511019419,15.5525330689,2.94594351889411,6.76881703081951
"31.lightOverTInc",31,TRUE,3,"lightOverTInc",5.26296,1.97,205.25544,84.20736,5.26296,76.83,31.52,1.97,27.6987479616,3.8809,10.3680312
"31.heavyOverTInc",31,FALSE,4,"heavyOverTInc",7.33051,3.18404312073807,285.88989,117.28816,7.33051,124.177681708785,50.9446899318091,3.18404312073807,53.7363768601,10.1381305947194,23.3406599370016
"32.partTimeInc",32,FALSE,1,"partTimeInc",2.41749,0.517875457945324,70.10721,29.00988,2.41749,15.0183882804144,6.21450549534389,0.517875457945324,5.8442579001,0.268194989942079,1.25195874082824
"32.fullTimeInc",32,TRUE,2,"fullTimeInc",3.94367,1,114.36643,47.32404,3.94367,29,12,1,15.5525330689,1,3.94367
"32.lightOverTInc",32,FALSE,3,"lightOverTInc",5.26296,1.47178544873578,152.62584,63.15552,5.26296,42.6817780133377,17.6614253848294,1.47178544873578,27.6987479616,2.16615240711039,7.74594794527848
"32.heavyOverTInc",32,FALSE,4,"heavyOverTInc",7.33051,2.07805569881382,212.58479,87.96612,7.33051,60.2636152656008,24.9366683857659,2.07805569881382,53.7363768601,4.3183154873726,15.2332080807117
"33.partTimeInc",33,FALSE,1,"partTimeInc",2.41749,0.302094017134772,58.01976,2.41749,2.41749,7.25025641123454,0.302094017134772,0.302094017134772,5.8442579001,0.0912607951886242,0.730309265483141
"33.fullTimeInc",33,FALSE,2,"fullTimeInc",3.94367,0.653442300835351,94.64808,3.94367,3.94367,15.6826152200484,0.653442300835351,0.653442300835351,15.5525330689,0.426986840520997,2.57696079853535
"33.lightOverTInc",33,TRUE,3,"lightOverTInc",5.26296,1,126.31104,5.26296,5.26296,24,1,1,27.6987479616,1,5.26296
"33.heavyOverTInc",33,FALSE,4,"heavyOverTInc",7.33051,1.2121991576414,175.93224,7.33051,7.33051,29.0927797833935,1.2121991576414,1.2121991576414,53.7363768601,1.46942679778651,8.88603804708183
"34.partTimeInc",34,FALSE,1,"partTimeInc",2.41749,0.362512820561727,84.61215,2.41749,2.41749,12.6879487196604,0.362512820561727,0.362512820561727,5.8442579001,0.131415545071619,0.876371118579769
"34.fullTimeInc",34,FALSE,2,"fullTimeInc",3.94367,0.784130761002421,138.02845,3.94367,3.94367,27.4445766350847,0.784130761002421,0.784130761002421,15.5525330689,0.614861050350236,3.09235295824242
"34.lightOverTInc",34,TRUE,3,"lightOverTInc",5.26296,1,184.2036,5.26296,5.26296,35,1,1,27.6987479616,1,5.26296
"34.heavyOverTInc",34,FALSE,4,"heavyOverTInc",7.33051,1.45463898916968,256.56785,7.33051,7.33051,50.9123646209386,1.45463898916968,1.45463898916968,53.7363768601,2.11597458881257,10.6632456564982
"35.partTimeInc",35,TRUE,1,"partTimeInc",2.41749,1,130.54446,2.41749,2.41749,54,1,1,5.8442579001,1,2.41749
"35.fullTimeInc",35,FALSE,2,"fullTimeInc",3.94367,1.96032690250605,212.95818,3.94367,3.94367,105.857652735327,1.96032690250605,1.96032690250605,15.5525330689,3.84288156468897,7.73088239560604
"35.lightOverTInc",35,FALSE,3,"lightOverTInc",5.26296,2.57562453528762,284.19984,5.26296,5.26296,139.083724905532,2.57562453528762,2.57562453528762,27.6987479616,6.63384174677558,13.5554089042373
"35.heavyOverTInc",35,FALSE,4,"heavyOverTInc",7.33051,3.63659747292419,395.84754,7.33051,7.33051,196.376263537906,3.63659747292419,3.63659747292419,53.7363768601,13.2248411800786,26.6581141412455
"36.partTimeInc",36,FALSE,1,"partTimeInc",2.41749,0.453141025702159,99.11709,29.00988,0,18.5787820537885,5.4376923084259,0,5.8442579001,0.205336789174404,1.09546389822471
"36.fullTimeInc",36,TRUE,2,"fullTimeInc",3.94367,1,161.69047,47.32404,0,41,12,0,15.5525330689,1,3.94367
"36.lightOverTInc",36,FALSE,3,"lightOverTInc",5.26296,1.28781226764381,215.78136,63.15552,0,52.8003029733963,15.4537472117257,0,27.6987479616,1.6584604366939,6.77770445211867
"36.heavyOverTInc",36,FALSE,4,"heavyOverTInc",7.33051,1.81829873646209,300.55091,87.96612,0,74.5502481949458,21.8195848375451,0,53.7363768601,3.30621029501965,13.3290570706227
