"","age","gender","edulevel","workowner","workhour","marriage","district","aftertwage","beforetaxinc","taxed","taxRate","groupe","uprateBTInc14to10","afterT14to10"
"207",26,0,3,5,42,1,2,2800,2800,0,0,"meadInc",1213,1213
"208",31,0,2,4,48,1,2,2800,2800,0,0,"meadInc",1213,1213
"209",24,1,3,5,48,1,2,2800,2800,0,0,"meadInc",1213,1213
"210",26,1,3,4,40,1,2,2800,2800,0,0,"meadInc",1213,1213
"211",17,1,3,5,42,0,2,2800,2800,0,0,"meadInc",1213,1213
"212",27,1,3,4,40,1,2,2800,2800,0,0,"meadInc",1213,1213
"213",31,0,4,4,6,1,2,2800,2800,0,0,"meadInc",1213,1213
"214",26,0,1,5,40,1,2,2800,2800,0,0,"meadInc",1213,1213
"215",24,0,1,4,40,1,2,2800,2800,0,0,"meadInc",1213,1213
"216",23,1,2,4,36,1,2,2800,2800,0,0,"meadInc",1213,1213
"217",25,1,5,5,48,1,2,2800,2800,0,0,"meadInc",1213,1213
"218",35,1,5,5,40,1,2,5100,5161,61,0.0118194148420849,"meadHighInc",2236,2225
"219",36,0,4,4,40,1,2,2370,2370,0,0,"lowInc",1027,1027
"220",21,1,4,4,60,0,2,2800,2800,0,0,"meadInc",1213,1213
"221",20,0,3,4,9,1,2,1000,1000,0,0,"lowInc",433,433
"222",19,0,4,9,42,1,2,1000,1000,0,0,"lowInc",433,433
"223",24,0,3,4,56,1,2,1000,1000,0,0,"lowInc",433,433
"224",22,1,2,4,56,1,2,1000,1000,0,0,"lowInc",433,433
"225",48,1,3,8,70,1,2,1000,1000,0,0,"lowInc",433,433
"226",52,0,4,8,50,1,2,1000,1000,0,0,"lowInc",433,433
"227",23,1,3,3,48,1,2,2800,2800,0,0,"meadInc",1213,1213
"228",35,0,5,4,48,1,2,1000,1000,0,0,"lowInc",433,433
"229",45,1,2,4,48,1,2,2800,2800,0,0,"meadInc",1213,1213
"230",32,1,3,4,70,0,2,2800,2800,0,0,"meadInc",1213,1213
"231",18,0,3,4,70,1,2,1000,1000,0,0,"lowInc",433,433
"232",52,1,4,4,50,0,2,1000,1000,0,0,"lowInc",433,433
"233",52,0,3,4,40,1,2,1000,1000,0,0,"lowInc",433,433
"234",46,0,3,3,48,1,2,1000,1000,0,0,"lowInc",433,433
"235",25,0,5,8,60,1,2,1000,1000,0,0,"lowInc",433,433
"236",42,1,4,8,35,1,2,1000,1000,0,0,"lowInc",433,433
"237",22,0,6,4,35,1,2,1000,1000,0,0,"lowInc",433,433
"238",37,1,1,4,21,1,2,1000,1000,0,0,"lowInc",433,433
"239",48,0,2,4,56,1,2,1000,1000,0,0,"lowInc",433,433
"240",46,1,5,1,50,1,2,2800,2800,0,0,"meadInc",1213,1213
"241",42,1,1,4,56,1,2,10000,10931,931,0.0851706156801756,"meadHighInc",4735,4450
"242",48,1,2,4,40,1,1,2800,2800,0,0,"meadInc",1213,1213
"243",22,0,2,4,60,1,1,2800,2800,0,0,"meadInc",1213,1213
"244",20,1,2,4,56,1,2,2800,2800,0,0,"meadInc",1213,1213
"245",38,1,3,4,30,1,2,1000,1000,0,0,"lowInc",433,433
"246",26,0,3,4,58,0,2,2800,2800,0,0,"meadInc",1213,1213
"247",54,1,3,3,2,1,2,10000,10931,931,0.0851706156801756,"meadHighInc",4735,4450
"248",23,0,5,4,50,1,2,1000,1000,0,0,"lowInc",433,433
"249",37,1,4,2,40,0,2,1000,1000,0,0,"lowInc",433,433
"250",57,1,2,4,70,1,2,1000,1000,0,0,"lowInc",433,433
"251",44,0,2,4,70,1,2,1000,1000,0,0,"lowInc",433,433
"252",27,1,3,4,70,1,2,2800,2800,0,0,"meadInc",1213,1213
"253",26,0,5,4,84,1,2,1000,1000,0,0,"lowInc",433,433
"254",30,1,3,5,66,0,2,2800,2800,0,0,"meadInc",1213,1213
"255",46,1,2,3,63,1,2,10000,10931,931,0.0851706156801756,"meadHighInc",4735,4450
"256",31,0,4,2,40,1,2,1000,1000,0,0,"lowInc",433,433
"257",17,0,3,4,60,0,2,2800,2800,0,0,"meadInc",1213,1213
"258",17,1,2,4,84,0,2,1000,1000,0,0,"lowInc",433,433
"259",30,0,3,4,56,0,2,1000,1000,0,0,"lowInc",433,433
"260",23,1,6,4,60,1,2,2800,2800,0,0,"meadInc",1213,1213
"261",35,1,3,4,50,1,2,2800,2800,0,0,"meadInc",1213,1213
"262",26,0,5,3,40,1,2,1000,1000,0,0,"lowInc",433,433
"263",20,0,3,4,50,1,2,1000,1000,0,0,"lowInc",433,433
"264",30,0,5,1,40,1,2,1000,1000,0,0,"lowInc",433,433
"265",51,1,5,1,40,1,2,1000,1000,0,0,"lowInc",433,433
"266",40,1,2,4,63,1,2,2800,2800,0,0,"meadInc",1213,1213
"267",50,1,1,1,28,1,2,1000,1000,0,0,"lowInc",433,433
"268",25,0,3,3,49,1,2,1000,1000,0,0,"lowInc",433,433
"269",21,1,2,5,66,1,2,2800,2800,0,0,"meadInc",1213,1213
"270",42,1,1,4,77,1,2,2800,2800,0,0,"meadInc",1213,1213
"271",35,0,4,3,40,1,2,1000,1000,0,0,"lowInc",433,433
"272",26,1,3,4,66,1,1,2800,2800,0,0,"meadInc",1213,1213
"273",57,1,3,4,80,1,2,10000,10931,931,0.0851706156801756,"meadHighInc",4735,4450
"274",42,1,3,4,56,1,2,1000,1000,0,0,"lowInc",433,433
"275",45,1,2,4,70,0,2,2800,2800,0,0,"meadInc",1213,1213
"276",54,1,3,4,60,1,2,2800,2800,0,0,"meadInc",1213,1213
"277",52,1,2,4,56,0,2,1000,1000,0,0,"lowInc",433,433
"278",45,0,4,1,50,1,2,1000,1000,0,0,"lowInc",433,433
"279",43,0,5,1,55,1,2,1000,1000,0,0,"lowInc",433,433
"280",59,1,3,9,50,1,2,1000,1000,0,0,"lowInc",433,433
"281",20,0,3,4,60,1,2,1000,1000,0,0,"lowInc",433,433
"282",23,0,5,4,8,0,2,1000,1000,0,0,"lowInc",433,433
"283",58,1,4,4,3,0,2,1000,1000,0,0,"lowInc",433,433
"284",27,0,2,4,80,1,2,1000,1000,0,0,"lowInc",433,433
"285",50,1,2,77,30,1,2,1000,1000,0,0,"lowInc",433,433
"286",39,0,5,8,40,1,2,2077,2077,0,0,"lowInc",900,900
"287",48,1,5,3,40,1,2,2800,2800,0,0,"meadInc",1213,1213
"288",45,0,5,4,40,1,2,1000,1000,0,0,"lowInc",433,433
"289",19,1,-8,4,35,0,2,1000,1000,0,0,"lowInc",433,433
"290",33,1,4,1,40,1,2,1000,1000,0,0,"lowInc",433,433
"291",28,1,2,4,70,1,2,2800,2800,0,0,"meadInc",1213,1213
"292",43,1,3,3,12,1,2,1000,1000,0,0,"lowInc",433,433
"293",38,0,3,4,57.5,1,1,2800,2800,0,0,"meadInc",1213,1213
"294",24,0,4,4,60,1,2,1000,1000,0,0,"lowInc",433,433
"295",57,1,2,1,42,1,2,1000,1000,0,0,"lowInc",433,433
"296",23,0,3,4,50,1,1,2800,2800,0,0,"meadInc",1213,1213
"297",24,1,5,3,40,0,1,2800,2800,0,0,"meadInc",1213,1213
"298",34,1,2,4,45,1,1,11000,12181,1181,0.0969542730481898,"meadHighInc",5277,4911
"299",54,1,4,2,48,1,1,2800,2800,0,0,"meadInc",1213,1213
"300",35,1,3,4,60,1,1,2800,2800,0,0,"meadInc",1213,1213
"301",50,0,3,1,35,1,1,1000,1000,0,0,"lowInc",433,433
"302",24,1,3,4,50,1,1,2800,2800,0,0,"meadInc",1213,1213
"303",29,1,5,4,40,0,1,10000,10931,931,0.0851706156801756,"meadHighInc",4735,4450
"304",31,0,4,4,56,1,1,1000,1000,0,0,"lowInc",433,433
"305",30,1,2,4,70,1,1,2800,2800,0,0,"meadInc",1213,1213
"306",17,0,0,4,60,0,1,2800,2800,0,0,"meadInc",1213,1213
"307",32,1,3,4,66,0,1,2800,2800,0,0,"meadInc",1213,1213
"308",38,0,3,4,8,1,1,1000,1000,0,0,"lowInc",433,433
"309",46,0,3,4,14,0,1,1000,1000,0,0,"lowInc",433,433
"310",57,1,1,1,1,1,1,1000,1000,0,0,"lowInc",433,433
"311",29,0,3,4,40,1,1,1000,1000,0,0,"lowInc",433,433
"312",45,0,1,4,48,1,1,1000,1000,0,0,"lowInc",433,433
"313",51,0,2,5,40,0,1,1000,1000,0,0,"lowInc",433,433
"314",26,1,4,4,56,1,1,2800,2800,0,0,"meadInc",1213,1213
"315",24,0,5,4,48,1,1,2800,2800,0,0,"meadInc",1213,1213
"316",23,0,2,4,60,1,1,2800,2800,0,0,"meadInc",1213,1213
"317",21,0,3,4,48,1,1,2800,2800,0,0,"meadInc",1213,1213
"318",45,0,3,1,25,1,1,1000,1000,0,0,"lowInc",433,433
"319",23,1,5,5,60,1,1,2800,2800,0,0,"meadInc",1213,1213
"320",29,0,2,4,40,1,1,2800,2800,0,0,"meadInc",1213,1213
"321",27,1,3,5,50,1,1,2800,2800,0,0,"meadInc",1213,1213
"322",19,1,2,5,40,1,1,2800,2800,0,0,"meadInc",1213,1213
"323",41,1,5,1,40,1,1,1000,1000,0,0,"lowInc",433,433
"324",30,1,3,1,40,0,1,1000,1000,0,0,"lowInc",433,433
"325",40,0,3,4,63,0,1,2800,2800,0,0,"meadInc",1213,1213
"326",44,1,3,4,30,0,1,1000,1000,0,0,"lowInc",433,433
"327",35,1,4,1,55,1,1,2800,2800,0,0,"meadInc",1213,1213
"328",49,0,2,5,66,1,1,2800,2800,0,0,"meadInc",1213,1213
"329",32,1,2,4,56,1,1,1000,1000,0,0,"lowInc",433,433
"330",25,0,5,5,40,1,1,2800,2800,0,0,"meadInc",1213,1213
"331",34,0,2,4,70,0,1,1000,1000,0,0,"lowInc",433,433
"332",43,0,3,4,48,1,1,1000,1000,0,0,"lowInc",433,433
"333",28,0,4,4,70,1,1,1000,1000,0,0,"lowInc",433,433
"334",49,1,2,4,56,1,1,1000,1000,0,0,"lowInc",433,433
"335",19,1,3,4,56,1,1,1000,1000,0,0,"lowInc",433,433
"336",52,1,4,4,56,1,1,2800,2800,0,0,"meadInc",1213,1213
"337",25,1,3,4,48,0,1,2800,2800,0,0,"meadInc",1213,1213
"338",20,1,1,4,40,1,1,2800,2800,0,0,"meadInc",1213,1213
"339",34,0,1,4,70,1,1,2800,2800,0,0,"meadInc",1213,1213
"340",59,1,3,2,40,1,1,2800,2800,0,0,"meadInc",1213,1213
"341",25,1,2,4,40,1,1,2800,2800,0,0,"meadInc",1213,1213
"342",18,1,3,4,45,0,1,2800,2800,0,0,"meadInc",1213,1213
"343",27,0,4,5,40,0,1,2800,2800,0,0,"meadInc",1213,1213
"344",51,0,2,4,28,1,1,1000,1000,0,0,"lowInc",433,433
"345",42,0,2,4,54,1,1,1000,1000,0,0,"lowInc",433,433
"346",24,1,5,4,24,1,1,2800,2800,0,0,"meadInc",1213,1213
"347",26,0,4,4,50,1,3,1000,1000,0,0,"lowInc",433,433
"348",34,1,4,4,56,1,1,2800,2800,0,0,"meadInc",1213,1213
"349",52,1,4,4,84,1,3,1000,1000,0,0,"lowInc",433,433
"350",48,0,1,4,84,1,3,1000,1000,0,0,"lowInc",433,433
"351",30,0,2,4,40,1,3,1000,1000,0,0,"lowInc",433,433
